raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
142,40000,0,0,0,0,120,760,3400,4960,5480,4840,3640,3040,2480,2920,2960,2200,1400,1120,400,120,80,40,0,40,0,0,0,0
144,40000,0,0,0,0,80,640,2880,4920,5360,4960,3840,3280,2240,2960,2920,2320,1560,1040,560,240,80,80,0,40,0,0,0,0
146,40000,0,0,0,0,40,560,2600,4600,5320,5000,4040,3240,2280,2960,2880,2280,1920,1120,720,200,80,120,0,40,0,0,0,0
148,40000,0,0,0,0,40,520,2200,4000,5440,5280,4040,3160,2720,2640,2880,2520,1800,1200,1040,240,120,80,40,40,0,0,0,0
150,40000,0,0,0,0,40,360,2040,3600,5000,5440,4320,3160,2840,2600,2880,2600,1960,1360,1120,400,120,80,40,0,40,0,0,0
152,40000,0,0,0,0,40,280,1680,3320,4800,5320,4440,3360,3280,2280,2920,2680,2240,1360,1080,480,240,80,80,0,40,0,0,0
154,40000,0,0,0,0,40,120,1320,3200,4680,5160,4680,3680,3160,2320,2840,2760,2120,1760,1080,640,200,80,80,40,40,0,0,0
156,40000,0,0,0,0,40,120,840,3040,4600,5120,4840,3720,3200,2360,2840,2720,2240,1760,1080,1000,200,120,80,40,0,40,0,0
158,40000,0,0,0,0,0,160,640,2800,4360,5040,5000,3600,3400,2480,2680,2760,2280,1920,1120,1160,320,120,40,80,0,40,0,0
160,40000,0,0,0,0,0,160,520,2400,4000,5120,4880,4000,3080,2760,2560,2880,2400,2040,1360,920,480,240,80,80,0,40,0,0
162,40000,0,0,0,0,0,80,480,2160,3600,4840,5080,4120,3200,2960,2360,2800,2600,2160,1480,1040,600,200,80,80,40,0,40,0
164,40000,0,0,0,0,0,40,520,1920,3280,4480,5240,4120,3360,3320,2240,2800,2640,1880,1880,920,880,200,120,40,80,0,0,40
166,40000,0,0,0,0,0,40,400,1680,2960,4280,5080,4520,3600,3200,2320,2760,2520,2320,1600,1080,1040,280,160,40,80,0,0,40
168,40000,0,0,0,0,0,40,280,1240,3040,4160,5040,4600,3440,3360,2360,2720,2640,2200,1720,1360,1000,360,200,80,80,40,0,40
170,40000,0,0,0,0,0,40,160,840,2880,4320,4680,4760,3760,3200,2480,2640,2600,2360,2000,1240,1040,560,200,80,80,40,0,40
172,40000,0,0,0,0,0,40,120,680,2560,3960,4800,4720,3960,3000,2840,2480,2600,2480,2080,1480,920,760,240,120,40,80,0,40
174,40000,0,0,0,0,0,40,120,640,2320,3520,4640,4760,3960,3320,2880,2440,2800,2480,1880,1600,1040,960,280,160,40,40,40,40
176,40000,0,0,0,0,0,40,120,520,2000,3320,4680,4600,4040,3560,3160,2360,2600,2360,2120,1600,1120,1080,280,200,80,80,0,80
178,40000,0,0,0,0,0,40,80,480,1960,2840,4120,5040,4240,3400,3200,2280,2680,2680,1960,1760,1400,840,560,160,120,40,40,80
180,40000,0,0,0,0,0,0,80,480,1680,2640,4160,4680,4440,3560,3160,2360,2720,2520,2240,1840,1320,920,680,240,120,40,0,120
182,40000,0,0,0,0,0,0,40,400,1240,2840,3880,4440,4640,3680,3120,2600,2520,2480,2360,1960,1520,760,960,240,160,40,0,120
184,40000,0,0,0,0,0,0,40,280,920,2680,3840,4480,4400,3840,3120,2800,2440,2640,2440,1760,1600,1040,1000,280,160,80,40,120
186,40000,0,0,0,0,0,0,40,200,720,2440,3680,4480,4480,3880,3320,2840,2440,2560,2400,2000,1400,1320,840,520,160,120,0,160
188,40000,0,0,0,0,0,0,40,160,600,2360,3240,4440,4480,3920,3280,3200,2240,2440,2760,1800,1800,1200,880,640,240,120,0,160
190,40000,0,0,0,0,0,0,40,120,640,1920,3120,4120,4680,3880,3480,3160,2240,2640,2560,2080,1840,1280,880,760,240,120,40,160
192,40000,0,0,0,0,0,0,40,120,520,1920,2640,3960,4640,4200,3600,2960,2480,2520,2400,2200,1880,1400,920,960,280,120,0,240
194,40000,0,0,0,0,0,0,40,120,440,1680,2600,3760,4360,4480,3400,3120,2560,2480,2480,2400,1720,1520,1040,880,480,160,40,240
196,40000,0,0,0,0,0,0,40,80,440,1400,2560,3520,4400,4040,3880,3320,2560,2440,2560,2240,1920,1400,1360,760,600,200,0,280
198,40000,0,0,0,0,0,0,40,40,360,1080,2480,3560,4160,4320,3760,3120,2920,2400,2360,2600,1720,1760,1160,920,720,200,0,320
200,40000,0,0,0,0,0,0,40,0,360,600,2480,3400,4200,4360,3680,3320,3200,2080,2400,2520,2000,1680,1400,720,960,240,40,320
202,40000,0,0,0,0,0,0,0,40,200,600,2360,3200,4040,4320,3720,3480,3000,2320,2520,2240,2160,1720,1440,960,880,360,80,360
204,40000,0,0,0,0,0,0,0,40,160,600,2040,2880,3840,4360,4000,3520,2880,2400,2760,2120,2320,1680,1400,1200,720,600,40,440
206,40000,0,0,0,0,0,0,0,40,120,640,1840,2600,3760,4200,4160,3560,3040,2480,2400,2520,2320,1680,1400,1280,800,640,40,480
208,40000,0,0,0,0,0,0,0,40,120,520,1800,2360,3640,4000,4040,3720,3320,2480,2320,2480,2440,1680,1680,1200,760,840,40,520
210,40000,0,0,0,0,0,0,0,40,120,480,1480,2320,3400,4240,4080,3440,3240,2880,2240,2320,2480,1880,1640,1440,680,880,120,600
212,40000,0,0,0,0,0,0,0,40,120,440,1120,2400,3240,4000,4200,3520,3280,2960,2120,2600,2280,1920,1600,1400,960,800,280,720
214,40000,0,0,0,0,0,0,0,40,120,400,760,2320,3080,3920,4280,3520,3480,2800,2280,2640,2080,2240,1600,1400,1240,680,80,1040
216,40000,0,0,0,0,0,0,0,40,40,320,600,2280,2960,3920,4000,3720,3320,3000,2400,2560,2280,2280,1600,1440,1120,840,160,1120
218,40000,0,0,0,0,0,0,0,40,0,240,560,2080,2680,3600,4240,3920,3480,3000,2520,2240,2480,2280,1600,1600,1240,640,280,1280
220,40000,0,0,0,0,0,0,0,40,0,200,560,2000,2560,3320,4120,3720,3680,3120,2640,2280,2240,2600,1600,1520,1440,680,120,1560
222,40000,0,0,0,0,0,0,0,40,0,160,600,1800,2240,3480,3920,3920,3360,3240,2760,2320,2280,2400,1760,1520,1400,1000,120,1680
224,40000,0,0,0,0,0,0,0,0,40,120,560,1640,2120,3280,3960,4000,3320,3360,2760,2040,2680,2000,2120,1560,1320,1160,160,1800
226,40000,0,0,0,0,0,0,0,0,40,120,480,1280,2320,3080,3560,4320,3280,3400,2800,2160,2680,1960,2240,1640,1400,1080,200,1960
228,40000,0,0,0,0,0,0,0,0,40,120,480,1040,2080,2920,3760,4200,3240,3360,2920,2400,2200,2520,2160,1560,1520,1200,120,2160
230,40000,0,0,0,0,0,0,0,0,40,120,440,640,2120,2960,3560,3760,3680,3440,2960,2400,2360,2360,2320,1520,1480,1240,360,2240
232,40000,0,0,0,0,0,0,0,0,40,120,280,560,2040,2560,3440,3880,3760,3600,3000,2680,2160,2200,2280,1680,1520,1320,360,2520
234,40000,0,0,0,0,0,0,0,0,40,40,320,440,1960,2640,3200,3960,3640,3280,3280,2480,2400,2320,2160,1960,1440,1280,320,2840
236,40000,0,0,0,0,0,0,0,0,40,40,200,520,1840,2360,3160,3880,3760,3240,3320,2560,2200,2600,1960,2080,1640,1280,200,3120
238,40000,0,0,0,0,0,0,0,0,40,0,200,560,1760,1920,3200,3760,3880,3200,3320,2720,2280,2400,2120,2200,1440,1520,160,3320
240,40000,0,0,0,0,0,0,0,0,40,0,160,560,1480,2120,2840,3680,3920,3240,3280,2840,2160,2360,2440,2160,1480,1400,400,3440
242,40000,0,0,0,0,0,0,0,0,40,0,120,480,1160,2080,2760,3680,3760,3360,3280,2960,2400,2360,2080,2400,1480,1400,400,3800
244,40000,0,0,0,0,0,0,0,0,0,40,120,480,1000,1880,2800,3400,3520,3640,3440,2960,2560,2120,2200,2240,1760,1400,360,4080
246,40000,0,0,0,0,0,0,0,0,0,40,120,440,640,2040,2400,3240,3920,3560,3240,3240,2280,2320,2360,1880,2160,1520,200,4400
248,40000,0,0,0,0,0,0,0,0,0,40,120,440,400,2000,2600,2920,3840,3600,3160,3360,2400,2200,2520,1840,2200,1400,400,4560
250,40000,0,0,0,0,0,0,0,0,0,40,120,280,400,1960,2320,3040,3680,3640,3120,3280,2640,2280,2320,2200,2040,1440,320,4880
252,40000,0,0,0,0,0,0,0,0,0,40,80,240,440,1800,2040,3040,3600,3880,2920,3320,2800,2120,2280,2280,2240,1360,360,5160
254,40000,0,0,0,0,0,0,0,0,0,40,40,200,520,1720,1880,2880,3320,3920,3120,3280,2720,2440,2160,2160,2160,1640,360,5440
256,40000,0,0,0,0,0,0,0,0,0,40,0,200,520,1400,1960,2640,3480,3480,3360,3240,2880,2480,2240,2080,2120,1840,240,5800
