Mile,Minute,Runners
9,64,160
10,64,40
11,64,0
12,64,0
13,64,0
14,64,0
15,64,0
16,64,0
17,64,0
18,64,0
19,64,0
20,64,0
21,64,0
22,64,0
23,64,0
24,64,0
25,64,0
0,66,2840
1,66,8840
2,66,8440
3,66,4360
4,66,1960
5,66,4640
6,66,4840
7,66,2440
8,66,1360
9,66,240
10,66,40
11,66,0
12,66,0
13,66,0
14,66,0
15,66,0
16,66,0
17,66,0
18,66,0
19,66,0
20,66,0
21,66,0
22,66,0
23,66,0
24,66,0
25,66,0
0,68,1760
1,68,8280
2,68,9000
3,68,5080
4,68,1960
5,68,4000
6,68,4920
7,68,2960
8,68,1640
9,68,320
10,68,40
11,68,40
12,68,0
13,68,0
14,68,0
15,68,0
16,68,0
17,68,0
18,68,0
19,68,0
20,68,0
21,68,0
22,68,0
23,68,0
24,68,0
25,68,0
0,70,640
1,70,7680
2,70,9520
3,70,5720
4,70,1840
5,70,3560
6,70,5120
7,70,3320
8,70,2000
9,70,440
10,70,120
11,70,40
12,70,0
13,70,0
14,70,0
15,70,0
16,70,0
17,70,0
18,70,0
19,70,0
20,70,0
21,70,0
22,70,0
23,70,0
24,70,0
25,70,0
0,72,240
1,72,6960
2,72,9120
3,72,6320
4,72,2520
5,72,3080
6,72,4560
7,72,3920
8,72,2200
9,72,880
10,72,160
11,72,40
12,72,0
13,72,0
14,72,0
15,72,0
16,72,0
17,72,0
18,72,0
19,72,0
20,72,0
21,72,0
22,72,0
23,72,0
24,72,0
25,72,0
0,74,120
1,74,6000
2,74,8560
3,74,7080
4,74,3120
5,74,2400
6,74,4320
7,74,4760
8,74,2000
9,74,1320
10,74,240
11,74,40
12,74,40
13,74,0
14,74,0
15,74,0
16,74,0
17,74,0
18,74,0
19,74,0
20,74,0
21,74,0
22,74,0
23,74,0
24,74,0
25,74,0
0,76,0
1,76,5040
2,76,8240
3,76,7200
4,76,4120
5,76,2120
6,76,4280
7,76,4120
8,76,2880
9,76,1520
10,76,320
11,76,120
12,76,40
13,76,0
14,76,0
15,76,0
16,76,0
17,76,0
18,76,0
19,76,0
20,76,0
21,76,0
22,76,0
23,76,0
24,76,0
25,76,0
0,78,0
1,78,3360
2,78,8320
3,78,7840
4,78,4680
5,78,2080
6,78,3480
7,78,4760
8,78,3000
9,78,1840
10,78,440
11,78,160
12,78,40
13,78,0
14,78,0
15,78,0
16,78,0
17,78,0
18,78,0
19,78,0
20,78,0
21,78,0
22,78,0
23,78,0
24,78,0
25,78,0
0,80,0
1,80,2440
2,80,7760
3,80,8400
4,80,5080
5,80,2200
6,80,3000
7,80,4520
8,80,3520
9,80,2000
10,80,840
11,80,200
12,80,0
13,80,40
14,80,0
15,80,0
16,80,0
17,80,0
18,80,0
19,80,0
20,80,0
21,80,0
22,80,0
23,80,0
24,80,0
25,80,0
0,82,0
1,82,1480
2,82,7240
3,82,8560
4,82,5360
5,82,2600
6,82,2960
7,82,4000
8,82,4280
9,82,1880
10,82,1280
11,82,200
12,82,120
13,82,40
14,82,0
15,82,0
16,82,0
17,82,0
18,82,0
19,82,0
20,82,0
21,82,0
22,82,0
23,82,0
24,82,0
25,82,0
0,84,0
1,84,720
2,84,6440
3,84,8400
4,84,6400
5,84,3120
6,84,2400
7,84,3960
8,84,4160
9,84,2440
10,84,1480
11,84,320
12,84,120
13,84,40
14,84,0
15,84,0
16,84,0
17,84,0
18,84,0
19,84,0
20,84,0
21,84,0
22,84,0
23,84,0
24,84,0
25,84,0
0,86,0
1,86,360
2,86,6040
3,86,7960
4,86,6600
5,86,3640
6,86,2200
7,86,3960
8,86,4080
9,86,2720
10,86,1760
11,86,480
12,86,160
13,86,0
14,86,40
15,86,0
16,86,0
17,86,0
18,86,0
19,86,0
20,86,0
21,86,0
22,86,0
23,86,0
24,86,0
25,86,0
0,88,0
1,88,240
2,88,5120
3,88,7720
4,88,6680
5,88,4480
6,88,2200
7,88,3160
8,88,4480
9,88,2920
10,88,1920
11,88,800
12,88,200
13,88,40
14,88,40
15,88,0
16,88,0
17,88,0
18,88,0
19,88,0
20,88,0
21,88,0
22,88,0
23,88,0
24,88,0
25,88,0
0,90,0
1,90,120
2,90,3800
3,90,7760
4,90,7320
