raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
77,41400,0,2060,7280,6820,6320,2640,2380,4080,4240,2780,1920,700,160,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
78,41400,0,1500,7220,6880,6300,3060,2040,4120,4280,2760,2160,880,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
79,41400,0,960,7260,6440,6740,3360,1940,3900,4460,2780,2260,1080,200,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
80,41400,0,680,6860,6620,6600,3820,1840,3640,4520,2980,2320,1240,240,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
81,41400,0,440,6440,6720,6420,4260,1880,3320,4620,3160,2440,1280,360,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0
82,41400,0,280,6020,6580,6440,4520,2180,3020,4360,3420,2640,1380,440,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0
83,41400,0,140,5380,6700,6420,4620,2520,2960,4140,3680,2560,1500,640,120,0,20,0,0,0,0,0,0,0,0,0,0,0,0
84,41400,0,40,5060,6400,6600,4980,2500,2840,3940,3720,2580,1820,720,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0
85,41400,0,20,4320,6560,6500,5480,2620,2320,3980,3920,2600,2000,880,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0
86,41400,0,0,3700,6580,6400,5680,2840,2400,3740,4040,2580,2160,1040,200,20,20,0,0,0,0,0,0,0,0,0,0,0,0
87,41400,0,0,3000,6680,6300,5920,3020,2300,3700,4060,2740,2180,1160,300,20,0,20,0,0,0,0,0,0,0,0,0,0,0
88,41400,0,0,2380,6740,6120,6120,3280,2200,3540,4200,2880,2240,1240,340,100,0,20,0,0,0,0,0,0,0,0,0,0,0
89,41400,0,0,1780,6760,6280,5800,3780,2120,3380,4300,2920,2400,1280,460,120,0,20,0,0,0,0,0,0,0,0,0,0,0
90,41400,0,0,1300,6700,6120,5980,3980,2260,3000,4240,3160,2440,1420,600,180,0,20,0,0,0,0,0,0,0,0,0,0,0
91,41400,0,0,1000,6420,6100,6020,4040,2600,2840,4060,3380,2320,1680,740,180,0,20,0,0,0,0,0,0,0,0,0,0,0
92,41400,0,0,680,6060,6260,5860,4440,2660,2800,3760,3500,2480,1780,900,180,20,0,20,0,0,0,0,0,0,0,0,0,0
93,41400,0,0,540,5560,6280,5900,4740,2680,2760,3580,3600,2480,2000,1000,240,20,0,20,0,0,0,0,0,0,0,0,0,0
94,41400,0,0,360,5340,6060,5880,5100,2660,2500,3640,3800,2500,2060,1080,300,100,0,20,0,0,0,0,0,0,0,0,0,0
95,41400,0,0,220,4760,6180,5840,5280,2940,2420,3500,3860,2600,2120,1160,400,100,0,20,0,0,0,0,0,0,0,0,0,0
